param nb_d:=1471;
param h := 7;
param: o t d:=
1 1 2 7
2 1 3 3
3 1 4 3
4 1 5 8
5 1 6 10
6 1 7 3
7 1 8 4
8 1 9 5
9 1 10 4
10 1 11 6
11 1 12 7
12 1 13 9
13 1 14 4
14 1 15 7
15 1 16 8
16 1 17 7
17 1 18 6
18 1 19 5
19 1 20 9
20 1 21 3
21 1 22 2
22 1 23 5
23 1 24 6
24 1 25 8
25 1 26 9
26 1 27 7
27 1 28 9
28 1 29 9
29 1 30 7
30 1 31 5
31 1 32 5
32 1 33 9
33 1 34 4
34 1 35 5
35 1 36 5
36 1 37 8
37 1 38 7
38 1 39 10
39 1 2 6
40 2 3 4
41 2 4 3
42 2 5 7
43 2 6 7
44 2 7 4
45 2 8 4
46 2 9 3
47 2 10 4
48 2 11 5
49 2 12 5
50 2 13 7
51 2 14 4
52 2 15 5
53 2 16 5
54 2 17 6
55 2 18 5
56 2 19 4
57 2 20 7
58 2 21 2
59 2 22 2
60 2 23 4
61 2 24 5
62 2 25 7
63 2 26 8
64 2 27 6
65 2 28 7
66 2 29 8
67 2 30 5
68 2 31 5
69 2 32 4
70 2 33 7
71 2 34 4
72 2 35 4
73 2 36 3
74 2 37 6
75 2 38 7
76 2 39 8
77 1 3 3
78 2 3 4
79 3 4 3
80 3 5 3
81 3 6 4
82 3 7 2
83 3 8 2
84 3 9 3
85 3 10 3
86 3 11 2
87 3 12 3
88 3 13 4
89 3 14 2
90 3 15 4
91 3 16 4
92 3 17 4
93 3 18 3
94 3 19 3
95 3 20 3
96 3 21 3
97 3 22 2
98 3 23 3
99 3 24 4
100 3 25 4
101 3 26 3
102 3 27 3
103 3 28 4
104 3 29 4
105 3 30 3
106 3 31 3
107 3 32 3
108 3 33 3
109 3 34 3
110 3 35 2
111 3 36 3
112 3 37 3
113 3 38 3
114 3 39 3
115 1 4 2
116 2 4 2
117 3 4 3
118 4 5 2
119 4 6 2
120 4 7 3
121 4 8 2
122 4 9 2
123 4 10 2
124 4 11 3
125 4 12 3
126 4 13 3
127 4 14 3
128 4 15 2
129 4 16 3
130 4 17 2
131 4 18 2
132 4 19 2
133 4 20 3
134 4 21 2
135 4 22 2
136 4 23 3
137 4 24 2
138 4 25 3
139 4 26 2
140 4 27 3
141 4 28 2
142 4 29 3
143 4 30 2
144 4 31 3
145 4 32 2
146 4 33 2
147 4 34 3
148 4 35 3
149 4 36 3
150 4 37 3
151 4 38 3
152 4 39 3
153 1 5 7
154 2 5 6
155 3 5 4
156 4 5 2
157 5 6 8
158 5 7 3
159 5 8 4
160 5 9 4
161 5 10 5
162 5 12 7
163 5 13 7
164 5 14 3
165 5 15 7
166 5 16 6
167 5 17 7
168 5 18 5
169 5 19 5
170 5 20 8
171 5 21 3
172 5 22 2
173 5 23 4
174 5 24 7
175 5 25 8
176 5 26 8
177 5 27 6
178 5 28 8
179 5 29 9
180 5 30 6
181 5 31 4
182 5 32 5
183 5 33 8
184 5 34 3
185 5 35 6
186 5 36 4
187 5 37 7
188 5 38 8
189 5 39 8
190 1 6 10
191 2 6 8
192 3 6 4
193 4 6 3
194 5 6 9
195 6 7 4
196 6 8 6
197 6 9 5
198 6 10 6
199 6 11 7
200 6 12 9
201 6 13 10
202 6 14 5
203 6 15 8
204 6 16 9
205 6 17 8
206 6 18 6
207 6 19 5
208 6 21 3
209 6 22 3
210 6 23 6
211 6 24 9
212 6 25 9
213 6 26 12
214 6 27 8
215 6 28 11
216 6 29 11
217 6 30 7
218 6 31 5
219 6 32 4
220 6 33 11
221 6 34 4
222 6 35 7
223 6 36 5
224 6 37 9
225 6 38 9
226 6 39 12
227 1 7 4
228 2 7 3
229 3 7 2
230 4 7 3
231 5 7 4
232 6 7 4
233 7 8 2
234 7 9 3
235 7 10 2
236 7 11 2
237 7 12 3
238 7 13 4
239 7 14 3
240 7 15 3
241 7 16 4
242 7 17 3
243 7 18 2
244 7 19 2
245 7 20 5
246 7 21 2
247 7 22 3
248 7 23 2
249 7 24 3
250 7 25 4
251 7 26 5
252 7 27 4
253 7 28 3
254 7 29 4
255 7 30 4
256 7 31 3
257 7 32 3
258 7 33 3
259 7 34 3
260 7 35 3
261 7 36 3
262 7 37 4
263 7 38 4
264 7 39 4
265 1 8 5
266 2 8 4
267 3 8 2
268 4 8 3
269 5 8 5
270 6 8 5
271 7 8 2
272 8 9 3
273 8 10 4
274 8 11 4
275 8 12 5
276 8 13 5
277 8 14 4
278 8 15 4
279 8 16 4
280 8 17 4
281 8 18 4
282 8 19 3
283 8 20 6
284 8 21 2
285 8 22 2
286 8 23 3
287 8 24 5
288 8 25 5
289 8 26 6
290 8 27 5
291 8 28 5
292 8 29 6
293 8 30 4
294 8 31 4
295 8 32 4
296 8 33 6
297 8 34 3
298 8 35 3
299 8 36 4
300 8 37 5
301 8 38 4
302 8 39 6
303 1 9 5
304 2 9 4
305 3 9 2
306 4 9 3
307 5 9 3
308 6 9 4
309 7 9 3
310 8 9 3
311 9 10 2
312 9 11 4
313 9 12 3
314 9 13 4
315 9 14 2
316 9 15 4
317 9 16 4
318 9 17 3
319 9 18 4
320 9 19 2
321 9 20 5
322 9 21 3
323 9 22 2
324 9 23 3
325 9 24 3
326 9 25 3
327 9 26 4
328 9 27 3
329 9 28 4
330 9 29 5
331 9 30 4
332 9 31 4
333 9 32 3
334 9 33 5
335 9 34 2
336 9 35 3
337 9 36 2
338 9 37 4
339 9 38 5
340 9 39 4
341 1 10 4
342 2 10 3
343 3 10 2
344 4 10 3
345 5 10 4
346 6 10 5
347 7 10 2
348 8 10 3
349 9 10 2
350 10 11 4
351 10 12 5
352 10 13 4
353 10 14 3
354 10 15 5
355 10 16 4
356 10 17 4
357 10 18 4
358 10 19 4
359 10 20 6
360 10 21 2
361 10 22 3
362 10 23 3
363 10 24 5
364 10 25 4
365 10 26 5
366 10 27 4
367 10 28 6
368 10 29 6
369 10 30 4
370 10 31 3
371 10 32 4
372 10 33 4
373 10 34 2
374 10 35 3
375 10 36 4
376 10 37 5
377 10 38 4
378 10 39 5
379 1 11 6
380 2 11 5
381 3 11 2
382 4 11 2
383 5 11 6
384 6 11 7
385 7 11 2
386 8 11 3
387 9 11 4
388 10 11 3
389 11 12 4
390 11 13 5
391 11 14 3
392 11 15 5
393 11 16 6
394 11 17 4
395 11 18 4
396 11 19 3
397 11 20 6
398 11 21 3
399 11 22 3
400 11 23 3
401 11 24 4
402 11 25 6
403 11 26 7
404 11 27 6
405 11 28 7
406 11 29 6
407 11 30 4
408 11 31 4
409 11 32 3
410 11 33 5
411 11 34 4
412 11 35 5
413 11 36 4
414 11 37 5
415 11 38 5
416 11 39 7
417 1 12 7
418 2 12 5
419 3 12 4
420 4 12 2
421 5 12 6
422 6 12 8
423 7 12 4
424 8 12 4
425 9 12 3
426 10 12 5
427 11 12 4
428 12 13 8
429 12 14 4
430 12 15 6
431 12 16 6
432 12 17 7
433 12 18 6
434 12 19 5
435 12 20 8
436 12 21 2
437 12 22 2
438 12 23 5
439 12 24 6
440 12 25 7
441 12 26 9
442 12 27 7
443 12 28 8
444 12 29 8
445 12 30 5
446 12 31 4
447 12 32 4
448 12 33 7
449 12 34 4
450 12 35 5
451 12 36 5
452 12 37 6
453 12 38 7
454 12 39 8
455 1 13 8
456 2 13 7
457 3 13 3
458 4 13 3
459 5 13 8
460 6 13 10
461 7 13 4
462 8 13 6
463 9 13 5
464 10 13 4
465 11 13 6
466 12 13 7
467 13 14 5
468 13 15 8
469 13 16 8
470 13 17 8
471 13 18 6
472 13 19 4
473 13 20 10
474 13 21 3
475 13 22 3
476 13 23 6
477 13 24 7
478 13 25 8
479 13 26 9
480 13 27 8
481 13 28 9
482 13 29 10
483 13 30 7
484 13 31 6
485 13 32 4
486 13 33 8
487 13 34 3
488 13 35 5
489 13 36 5
490 13 37 8
491 13 38 8
492 13 39 9
493 1 14 5
494 2 14 4
495 3 14 3
496 4 14 2
497 5 14 4
498 6 14 4
499 7 14 2
500 8 14 4
501 9 14 3
502 10 14 3
503 11 14 4
504 12 14 3
505 13 14 4
506 14 15 4
507 14 16 4
508 14 17 4
509 14 18 4
510 14 19 4
511 14 20 4
512 14 21 3
513 14 22 3
514 14 23 4
515 14 24 3
516 14 25 5
517 14 26 5
518 14 27 4
519 14 28 5
520 14 29 5
521 14 30 4
522 14 31 4
523 14 32 3
524 14 33 4
525 14 34 3
526 14 35 4
527 14 36 3
528 14 37 4
529 14 38 5
530 14 39 5
531 1 15 6
532 2 15 6
533 3 15 3
534 4 15 2
535 5 15 7
536 6 15 8
537 8 15 5
538 9 15 4
539 10 15 4
540 11 15 5
541 12 15 7
542 13 15 8
543 14 15 4
544 15 16 6
545 15 17 6
546 15 18 4
547 15 19 5
548 15 20 9
549 15 21 3
550 15 22 3
551 15 23 4
552 15 24 5
553 15 25 7
554 15 26 7
555 15 27 7
556 15 28 7
557 15 29 8
558 15 30 5
559 15 31 4
560 15 32 3
561 15 33 7
562 15 34 3
563 15 35 4
564 15 36 4
565 15 37 7
566 15 38 7
567 15 39 8
568 1 16 7
569 2 16 5
570 3 16 4
571 4 16 2
572 5 16 6
573 6 16 9
574 7 16 4
575 8 16 4
576 9 16 3
577 10 16 5
578 11 16 6
579 12 16 7
580 13 16 7
581 14 16 3
582 15 16 7
583 16 17 7
584 16 18 6
585 16 19 5
586 16 20 9
587 16 21 2
588 16 22 3
589 16 23 4
590 16 24 6
591 16 25 8
592 16 26 8
593 16 27 7
594 16 28 9
595 16 29 8
596 16 30 5
597 16 31 5
598 16 32 5
599 16 33 8
600 16 34 3
601 16 35 6
602 16 36 5
603 16 37 6
604 16 38 7
605 16 39 9
606 1 17 7
607 2 17 6
608 3 17 3
609 4 17 2
610 5 17 6
611 6 17 8
612 7 17 4
613 8 17 4
614 9 17 4
615 10 17 5
616 11 17 4
617 12 17 6
618 13 17 7
619 14 17 4
620 15 17 6
621 16 17 7
622 17 18 5
623 17 19 4
624 17 20 9
625 17 21 3
626 17 22 2
627 17 23 4
628 17 24 5
629 17 25 6
630 17 26 8
631 17 27 7
632 17 28 8
633 17 29 8
634 17 30 6
635 17 31 4
636 17 32 3
637 17 33 7
638 17 34 4
639 17 35 5
640 17 36 4
641 17 37 6
642 17 38 6
643 17 39 8
644 1 18 5
645 2 18 5
646 4 18 3
647 5 18 5
648 6 18 6
649 7 18 3
650 8 18 3
651 9 18 4
652 10 18 4
653 11 18 5
654 12 18 6
655 13 18 5
656 14 18 3
657 15 18 4
658 16 18 5
659 17 18 5
660 18 19 3
661 18 20 6
662 18 21 2
663 18 22 3
664 18 23 4
665 18 24 4
666 18 25 5
667 18 26 6
668 18 27 6
669 18 28 7
670 18 29 6
671 18 30 5
672 18 31 3
673 18 32 3
674 18 33 5
675 18 34 3
676 18 35 4
677 18 36 3
678 18 37 6
679 18 38 6
680 18 39 6
681 1 19 4
682 2 19 4
683 3 19 3
684 4 19 3
685 5 19 4
686 6 19 6
687 7 19 2
688 8 19 4
689 9 19 2
690 10 19 4
691 11 19 4
692 12 19 4
693 13 19 5
694 14 19 4
695 15 19 4
696 16 19 4
697 17 19 5
698 18 19 4
699 19 20 6
700 19 21 3
701 19 22 3
702 19 23 3
703 19 24 5
704 19 25 4
705 19 26 6
706 19 27 4
707 19 28 6
708 19 29 5
709 19 30 3
710 19 31 3
711 19 33 5
712 19 34 2
713 19 35 4
714 19 36 3
715 19 37 5
716 19 38 5
717 19 39 5
718 1 20 10
719 2 20 7
720 3 20 3
721 4 20 3
722 5 20 8
723 6 20 12
724 7 20 4
725 8 20 6
726 9 20 5
727 10 20 6
728 11 20 7
729 12 20 9
730 13 20 10
731 14 20 4
732 15 20 9
733 16 20 9
734 17 20 8
735 18 20 7
736 19 20 5
737 20 21 2
738 20 22 3
739 20 23 6
740 20 24 8
741 20 25 10
742 20 26 12
743 20 27 8
744 20 28 11
745 20 29 12
746 20 30 7
747 20 31 5
748 20 32 6
749 20 33 10
750 20 34 5
751 20 35 6
752 20 36 6
753 20 37 9
754 20 38 10
755 20 39 11
756 1 21 3
757 2 21 3
758 3 21 3
759 4 21 2
760 5 21 2
761 6 21 2
762 7 21 3
763 9 21 3
764 10 21 3
765 11 21 3
766 12 21 3
767 13 21 3
768 14 21 3
769 15 21 2
770 16 21 2
771 17 21 2
772 18 21 2
773 19 21 2
774 20 21 2
775 21 22 2
776 21 23 3
777 21 24 3
778 21 25 3
779 21 26 2
780 21 27 2
781 21 28 2
782 21 29 2
783 21 30 3
784 21 31 2
785 21 32 2
786 21 33 2
787 21 34 3
788 21 35 3
789 21 36 2
790 21 37 3
791 21 38 3
792 21 39 2
793 1 22 2
794 2 22 3
795 3 22 3
796 4 22 2
797 5 22 3
798 6 22 3
799 7 22 3
800 8 22 3
801 9 22 2
802 10 22 3
803 11 22 3
804 12 22 2
805 13 22 2
806 14 22 2
807 15 22 3
808 16 22 2
809 17 22 3
810 18 22 2
811 19 22 2
812 20 22 3
813 21 22 3
814 22 23 2
815 22 24 3
816 22 25 3
817 22 26 2
818 22 27 3
819 22 28 2
820 22 29 2
821 22 30 3
822 22 31 2
823 22 32 3
824 22 33 2
825 22 34 2
826 22 35 2
827 22 36 2
828 22 37 3
829 22 38 2
830 22 39 3
831 1 23 6
832 2 23 4
833 3 23 3
834 4 23 3
835 5 23 4
836 6 23 7
837 7 23 3
838 8 23 3
839 9 23 3
840 10 23 4
841 11 23 3
842 12 23 4
843 13 23 5
844 14 23 3
845 15 23 4
846 16 23 4
847 17 23 4
848 18 23 5
849 19 23 3
850 20 23 6
851 21 23 2
852 22 23 3
853 23 24 5
854 23 25 6
855 23 26 7
856 23 27 5
857 23 28 6
858 23 29 6
859 23 30 5
860 23 31 3
861 23 32 4
862 23 33 5
863 23 34 2
864 23 35 5
865 23 36 4
866 23 37 5
867 23 38 6
868 23 39 6
869 1 24 7
870 2 24 6
871 3 24 4
872 4 24 2
873 5 24 7
874 6 24 8
875 7 24 3
876 8 24 4
877 9 24 4
878 10 24 4
879 11 24 5
880 12 24 7
881 14 24 4
882 15 24 6
883 16 24 7
884 17 24 6
885 18 24 5
886 19 24 5
887 20 24 9
888 21 24 3
889 22 24 3
890 23 24 4
891 24 25 7
892 24 26 9
893 24 27 6
894 24 28 7
895 24 29 7
896 24 31 5
897 24 32 4
898 24 33 8
899 24 34 3
900 24 35 6
901 24 36 3
902 24 37 6
903 24 38 7
904 24 39 8
905 1 25 7
906 2 25 6
907 3 25 3
908 4 25 2
909 5 25 8
910 6 25 10
911 7 25 3
912 8 25 5
913 9 25 4
914 10 25 5
915 11 25 5
916 12 25 6
917 13 25 9
918 14 25 5
919 16 25 8
920 17 25 6
921 18 25 6
922 19 25 5
923 20 25 10
924 21 25 3
925 22 25 3
926 23 25 5
927 25 26 10
928 25 27 8
929 25 28 9
930 25 29 9
931 25 30 5
932 25 31 4
933 25 32 5
934 25 33 8
935 25 34 3
936 25 35 5
937 25 36 4
938 25 37 6
939 25 38 8
940 25 39 9
941 1 26 9
942 2 26 8
943 3 26 4
944 4 26 2
945 5 26 9
946 6 26 12
