param nb_n:=39;

set A:=
1 2 2 1
1 3 3 1
1 4 4 1
1 5 5 1
1 7 7 1
2 3 3 2
2 8 8 2
3 4 4 3
3 7 7 3
4 5 5 4
4 7 7 4
4 10 10 4
5 6 6 5
5 9 9 5
6 9 9 6
6 18 18 6
7 10 10 7
7 11 11 7
8 12 12 8
8 25 25 8
9 10 10 9
9 13 13 9
9 14 14 9
9 15 15 9
10 11 11 10
10 15 15 10
10 24 24 10
11 12 12 11
11 17 17 11
12 25 25 12
13 14 14 13
13 18 18 13
13 19 19 13
14 15 15 14
14 20 20 14
14 26 26 14
15 16 16 15
16 17 17 16
16 20 20 16
16 23 23 16
16 24 24 16
17 24 24 17
17 25 25 17
17 31 31 17
18 19 19 18
18 21 21 18
18 36 36 18
19 22 22 19
19 26 26 19
20 23 23 20
20 26 26 20
21 22 22 21
21 36 36 21
22 27 27 22
23 24 24 23
23 26 26 23
23 28 28 23
23 34 34 23
24 28 28 24
24 29 29 24
25 31 31 25
26 27 27 26
26 30 30 26
26 34 34 26
27 35 35 27
28 30 30 28
28 31 31 28
28 32 32 28
28 34 34 28
29 30 30 29
29 31 31 29
30 31 31 30
31 33 33 31
31 39 39 31
32 34 34 32
32 37 37 32
33 34 34 33
33 37 37 33
33 39 39 33
34 35 35 34
34 37 37 34
34 38 38 34
35 36 36 35
36 38 38 36
37 38 38 37
37 39 39 37
;

