param nb_d:=132;
param h := 7;

param: o t d:=
1 6 11 3580
2 1 3 2770
3 5 11 1745
4 7 8 2766
5 8 9 11969
6 5 8 16437
7 3 6 27187
8 8 11 9684
9 8 10 22906
10 1 4 1642
11 1 5 832
12 1 7 630
13 3 4 31363
14 7 9 3823
15 5 6 3337
16 4 6 7694
17 9 12 40069
18 7 12 4507
19 9 10 5447
20 4 12 16062
21 7 11 1946
22 4 7 4165
23 6 9 18695
24 1 6 789
25 9 10 5169
26 2 9 8783
27 1 10 233
28 4 10 5128
29 7 12 10130
30 2 12 37150
31 7 8 2783
32 5 7 2893
33 8 9 34167
34 3 9 122327
35 5 11 7754
36 4 7 3962
37 6 7 4841
38 1 12 5538
39 3 11 5082
40 3 9 23882
41 9 11 12889
42 7 10 1213
43 7 9 6894
44 4 11 7469
45 3 10 6961
46 1 10 646
47 3 11 24371
48 6 12 13342
49 8 12 44119
50 1 8 1337
51 6 8 11906
52 4 6 10771
53 6 12 10055
54 5 10 2883
55 2 5 56067
56 2 9 17991
57 4 5 1454
58 1 3 3128
59 2 8 69016
60 5 8 161581
61 4 12 10290
62 2 3 36737
63 1 6 1992
64 2 7 2001
65 5 12 15095
66 11 12 7930
67 2 12 25503
68 2 3 6142
69 6 8 22366
70 2 5 26089
71 8 10 9589
72 1 9 1076
73 2 6 9094
74 3 4 14012
75 3 6 14471
76 5 12 26779
77 10 11 26143
78 9 11 8686
79 3 8 424969
80 11 12 16178
81 2 4 3424
82 10 12 3962
83 6 10 3338
84 4 8 7652
85 7 11 13517
86 10 12 6207
87 2 11 2604
88 1 2 2146
89 4 8 6459
90 3 7 33734
91 3 5 329673
92 2 11 41339
93 1 8 1016
94 1 12 1982
95 3 10 3602
96 1 11 932
97 1 5 1754
98 2 6 8016
99 2 10 2174
100 1 11 249
101 4 5 7649
102 6 7 3800
103 1 2 1140
104 3 12 21896
105 7 10 2006
106 4 10 22050
107 5 10 630
108 5 9 6840
109 3 5 12913
110 5 6 14702
111 5 7 2026
112 2 8 44484
113 8 12 71197
114 4 11 6470
115 8 11 36468
116 2 4 3360
117 2 7 2429
118 6 11 29555
119 9 12 47980
120 2 10 955
121 5 9 32998
122 1 9 1149
123 3 12 34597
124 3 7 7815
125 6 10 2094
126 1 4 415
127 3 8 385991
128 6 9 8773
129 4 9 6177
130 1 7 745
131 10 11 6139
132 4 9 11677
;

