param nb_d:=780;
param h := 10;

param: o t d:=
1 1 2 110
2 1 3 186
3 1 4 168
4 1 5 121
5 1 6 163
6 1 7 126
7 1 8 145
8 1 9 119
9 1 10 184
10 1 11 126
11 1 12 188
12 1 13 132
13 1 14 182
14 1 15 143
15 1 16 198
16 1 17 169
17 1 18 131
18 1 19 128
19 1 20 186
20 1 21 115
21 1 22 162
22 1 23 170
23 1 24 142
24 1 25 148
25 1 26 104
26 1 27 124
27 1 28 174
28 1 29 185
29 1 30 120
30 1 31 102
31 1 32 108
32 1 33 181
33 1 34 135
34 1 35 181
35 1 36 153
36 1 37 117
37 1 38 161
38 1 39 191
39 1 40 119
40 2 3 160
41 2 4 192
42 2 5 134
43 2 6 156
44 2 7 185
45 2 8 166
46 2 9 132
47 2 10 165
48 2 11 124
49 2 12 111
50 2 13 172
51 2 14 138
52 2 15 113
53 2 16 126
54 2 17 193
55 2 18 125
56 2 19 142
57 2 20 116
58 2 21 149
59 2 22 183
60 2 23 187
61 2 24 134
62 2 25 168
63 2 26 149
64 2 27 123
65 2 28 117
66 2 29 173
67 2 30 138
68 2 31 149
69 2 32 142
70 2 33 140
71 2 34 146
72 2 35 164
73 2 36 190
74 2 37 168
75 2 38 106
76 2 39 182
77 2 40 178
78 3 4 155
79 3 5 159
80 3 6 116
81 3 7 110
82 3 8 114
83 3 9 150
84 3 10 122
85 3 11 196
86 3 12 123
87 3 13 198
88 3 14 193
89 3 15 113
90 3 16 173
91 3 17 124
92 3 18 175
93 3 19 200
94 3 20 183
95 3 21 141
96 3 22 106
97 3 23 180
98 3 24 123
99 3 25 116
100 3 26 177
101 3 27 109
102 3 28 109
103 3 29 137
104 3 30 139
105 3 31 191
106 3 32 131
107 3 33 115
108 3 34 128
109 3 35 121
110 3 36 147
111 3 37 186
112 3 38 155
113 3 39 186
114 3 40 119
115 4 5 155
116 4 6 105
117 4 7 160
118 4 8 128
119 4 9 188
120 4 10 155
121 4 11 188
122 4 12 158
123 4 13 169
124 4 14 166
125 4 15 150
126 4 16 152
127 4 17 124
128 4 18 117
129 4 19 154
130 4 20 119
131 4 21 135
132 4 22 137
133 4 23 140
134 4 24 174
135 4 25 104
136 4 26 116
137 4 27 132
138 4 28 167
139 4 29 142
140 4 30 163
141 4 31 169
142 4 32 185
143 4 33 182
144 4 34 163
145 4 35 181
146 4 36 144
147 4 37 175
148 4 38 180
149 4 39 131
150 4 40 135
151 5 6 173
152 5 7 120
153 5 8 196
154 5 9 142
155 5 10 187
156 5 11 143
157 5 12 131
158 5 13 106
159 5 14 142
160 5 15 103
161 5 16 109
162 5 17 140
163 5 18 103
164 5 19 112
165 5 20 178
166 5 21 143
167 5 22 109
168 5 23 152
169 5 24 124
170 5 25 161
171 5 26 159
172 5 27 189
173 5 28 194
174 5 29 124
175 5 30 152
176 5 31 125
177 5 32 157
178 5 33 168
179 5 34 178
180 5 35 190
181 5 36 183
182 5 37 124
183 5 38 108
184 5 39 155
185 5 40 108
186 6 7 103
187 6 8 170
188 6 9 171
189 6 10 169
190 6 11 146
191 6 12 174
192 6 13 147
193 6 14 199
194 6 15 109
195 6 16 179
196 6 17 166
197 6 18 151
198 6 19 152
199 6 20 119
200 6 21 131
201 6 22 114
202 6 23 131
203 6 24 165
204 6 25 142
205 6 26 171
206 6 27 140
207 6 28 136
208 6 29 150
209 6 30 135
210 6 31 193
211 6 32 133
212 6 33 172
213 6 34 126
214 6 35 118
215 6 36 183
216 6 37 160
217 6 38 152
218 6 39 131
219 6 40 158
220 7 8 170
221 7 9 154
222 7 10 100
223 7 11 170
224 7 12 126
225 7 13 175
226 7 14 183
227 7 15 136
228 7 16 195
229 7 17 103
230 7 18 163
231 7 19 136
232 7 20 146
233 7 21 149
234 7 22 143
235 7 23 147
236 7 24 158
237 7 25 103
238 7 26 106
239 7 27 128
240 7 28 185
241 7 29 199
242 7 30 113
243 7 31 154
244 7 32 153
245 7 33 130
246 7 34 166
247 7 35 143
248 7 36 199
249 7 37 120
250 7 38 189
251 7 39 169
252 7 40 115
253 8 9 119
254 8 10 127
255 8 11 102
256 8 12 170
257 8 13 161
258 8 14 150
259 8 15 125
260 8 16 143
261 8 17 142
262 8 18 111
263 8 19 168
264 8 20 104
265 8 21 151
266 8 22 143
267 8 23 120
268 8 24 108
269 8 25 118
270 8 26 150
271 8 27 139
272 8 28 173
273 8 29 107
274 8 30 193
275 8 31 168
276 8 32 108
277 8 33 127
278 8 34 169
279 8 35 148
280 8 36 147
281 8 37 145
282 8 38 113
283 8 39 138
284 8 40 133
285 9 10 102
286 9 11 174
287 9 12 159
288 9 13 161
289 9 14 185
290 9 15 184
291 9 16 176
292 9 17 134
293 9 18 102
294 9 19 164
295 9 20 109
296 9 21 118
297 9 22 129
298 9 23 132
299 9 24 119
300 9 25 175
301 9 26 154
302 9 27 136
303 9 28 196
304 9 29 179
305 9 30 103
306 9 31 132
307 9 32 148
308 9 33 162
309 9 34 104
310 9 35 107
311 9 36 127
312 9 37 117
313 9 38 174
314 9 39 179
315 9 40 163
316 10 11 188
317 10 12 160
318 10 13 169
319 10 14 184
320 10 15 182
321 10 16 106
322 10 17 167
323 10 18 194
324 10 19 161
325 10 20 136
326 10 21 178
327 10 22 191
328 10 23 150
329 10 24 164
330 10 25 169
331 10 26 198
332 10 27 156
333 10 28 106
334 10 29 102
335 10 30 145
336 10 31 133
337 10 32 167
338 10 33 157
339 10 34 107
340 10 35 170
341 10 36 130
342 10 37 193
343 10 38 131
344 10 39 159
345 10 40 101
346 11 12 161
347 11 13 117
348 11 14 159
349 11 15 111
350 11 16 172
351 11 17 131
352 11 18 167
353 11 19 176
354 11 20 123
355 11 21 135
356 11 22 164
357 11 23 200
358 11 24 141
359 11 25 179
360 11 26 180
361 11 27 140
362 11 28 196
363 11 29 144
364 11 30 106
365 11 31 117
366 11 32 187
367 11 33 191
368 11 34 133
369 11 35 160
370 11 36 193
371 11 37 143
372 11 38 112
373 11 39 171
374 11 40 132
375 12 13 195
376 12 14 180
377 12 15 180
378 12 16 126
379 12 17 101
380 12 18 123
381 12 19 196
382 12 20 128
383 12 21 127
384 12 22 127
385 12 23 179
386 12 24 174
387 12 25 132
388 12 26 100
389 12 27 185
390 12 28 196
391 12 29 136
392 12 30 125
393 12 31 137
394 12 32 161
395 12 33 114
396 12 34 190
397 12 35 110
398 12 36 136
399 12 37 171
400 12 38 185
401 12 39 184
402 12 40 155
403 13 14 119
404 13 15 181
405 13 16 191
406 13 17 119
407 13 18 143
408 13 19 138
409 13 20 141
410 13 21 133
411 13 22 180
412 13 23 185
413 13 24 188
414 13 25 148
415 13 26 112
416 13 27 124
417 13 28 148
418 13 29 119
419 13 30 181
420 13 31 104
421 13 32 106
422 13 33 154
423 13 34 107
424 13 35 182
425 13 36 175
426 13 37 113
427 13 38 142
428 13 39 149
429 13 40 171
