param nb_n:=40;

set A:=
1 13 13 1
1 14 14 1
1 17 17 1
1 20 20 1
1 29 29 1
2 4 4 2
2 5 5 2
2 32 32 2
2 40 40 2
3 18 18 3
3 22 22 3
3 24 24 3
3 26 26 3
4 6 6 4
4 11 11 4
4 14 14 4
4 37 37 4
5 32 32 5
5 34 34 5
5 38 38 5
6 11 11 6
6 14 14 6
6 30 30 6
6 37 37 6
7 10 10 7
7 25 25 7
7 30 30 7
7 36 36 7
8 9 9 8
8 15 15 8
8 16 16 8
8 33 33 8
9 15 15 9
9 16 16 9
9 19 19 9
9 33 33 9
10 23 23 10
10 30 30 10
10 36 36 10
10 40 40 10
11 13 13 11
11 20 20 11
12 15 15 12
12 16 16 12
12 33 33 12
12 39 39 12
13 20 20 13
13 29 29 13
14 29 29 14
14 37 37 14
15 16 16 15
16 28 28 16
17 20 20 17
17 29 29 17
17 37 37 17
18 22 22 18
18 24 24 18
18 26 26 18
19 26 26 19
19 27 27 19
19 28 28 19
19 31 31 19
21 28 28 21
21 34 34 21
21 35 35 21
21 39 39 21
22 23 23 22
22 24 24 22
23 24 24 23
23 40 40 23
24 26 26 24
25 32 32 25
25 36 36 25
25 37 37 25
25 38 38 25
26 27 27 26
27 31 31 27
27 35 35 27
27 40 40 27
28 39 39 28
29 38 38 29
30 36 36 30
30 39 39 30
31 35 35 31
31 36 36 31
32 34 34 32
33 35 35 33
34 38 38 34
34 39 39 34
;

