param nb_n:=37;
# h = 10
set A:=
1 8 8 1
1 14 14 1
1 15 15 1
1 19 19 1
2 26 26 2
2 31 31 2
2 36 36 2
3 21 21 3
3 22 22 3
3 30 30 3
4 9 9 4
4 31 31 4
4 36 36 4
5 10 10 5
5 15 15 5
5 24 24 5
5 28 28 5
5 35 35 5
6 14 14 6
6 19 19 6
7 21 21 7
7 22 22 7
7 27 27 7
8 12 12 8
8 27 27 8
9 17 17 9
9 28 28 9
10 25 25 10
10 32 32 10
11 14 14 11
11 19 19 11
12 13 13 12
13 15 15 13
13 24 24 13
13 33 33 13
16 25 25 16
16 32 32 16
16 35 35 16
17 35 35 17
18 19 19 18
18 21 21 18
18 30 30 18
19 27 27 19
20 22 22 20
20 27 27 20
20 37 37 20
22 29 29 22
23 24 24 23
23 29 29 23
23 37 37 23
24 34 34 24
26 29 29 26
27 33 33 27
28 34 34 28
29 36 36 29
33 37 37 33
34 36 36 34
;

